"","","","","","","","Average Monthly Prices of 53 Essential Items for the month of August 2019","","","","","","","","","","","","","","","","",""
"S.
No.","Description","Unit","Islam-
abad","Rawal-
pindi","Gujran-
wala","Sialkot","Lahore","Faisal-
abad","Sar-
godha","Multan","Baha-
walpur","Karachi","Hyder-
abad","Sukkur","Larkana","Pesha-
war","Bannu","Quetta","Khuz-
dar","Average Prices
Aug 19 Jul 19 Aug 18","","","%change Aug 19 over
Jul 19 Aug 18",""
"1.0","Wheat","10 Kg","377.5","377.5","375.0","350.0","355.0","375.0","335.8","351.0","347.25","396.0","365.5","337.5","330.0","385.33","370.75","368.0","350.0","361.6","362.45","332.41","-0.23","8.78"
"2.0","Wheat Flour, Bag","10 Kg","434.18","429.57","420.0","420.0","416.0","426.0","380.0","404.53","427.5","480.31","454.88","423.0","408.0","427.83","440.0","430.0","401.0","424.87","424.19","385.6","0.16","10.18"
"3.0","Rice Basmati Broken, (AQ)","1 Kg","100.63","90.83","77.5","75.0","74.82","90.0","75.0","88.33","60.0","87.31","86.0","65.0","92.5","84.17","53.75","105.0","77.5","81.37","82.06","75.87","-0.84","7.25"
"4.0","Rice Irri-6 (Punjab/Sindh)","1 Kg","71.25","72.5","60.0","47.5","57.0","65.0","70.0","58.67","47.5","60.9","56.7","55.0","46.5","59.17","62.5","80.8","56.25","60.43","60.22","53.99","0.35","11.93"
"5.0","Bread Plain, Medium Size","Each","50.0","50.0","45.0","40.0","53.0","49.0","45.0","50.0","51.0","51.31","51.0","50.0","48.0","45.0","40.0","50.0","40.0","47.55","46.55","42.63","2.15","11.54"
"6.0","Beef With Bone, (AQ)","1 Kg","495.0","485.0","400.0","450.0","423.43","400.0","420.0","396.67","365.0","519.31","444.0","400.0","400.0","384.17","350.0","400.0","400.0","419.56","418.72","374.41","0.2","12.06"
"7.0","Mutton, Average Quality","1 Kg","1009.38","989.17","900.0","900.0","923.21","970.0","925.0","850.0","725.0","938.65","850.0","800.0","825.0","825.0","700.0","850.0","750.0","866.49","864.56","782.49","0.22","10.73"
"8.0","Chicken Farm, Broiler, Live","1 Kg","183.48","171.92","170.6","170.4","163.2","169.4","165.0","180.73","175.2","200.42","194.5","196.0","187.5","182.6","184.4","192.0","224.0","183.02","153.38","122.81","19.32","49.03"
"9.0","Milk, Fresh, Unboiled","1 Ltr","108.75","107.08","90.0","80.0","78.26","95.0","75.0","84.17","69.0","96.45","94.0","100.0","110.0","100.83","87.5","110.0","90.0","92.71","91.5","85.46","1.32","8.48"
"10.0","Curd (Dahi)","1 Kg","122.5","115.0","100.0","90.0","93.57","100.0","90.0","100.0","80.0","148.16","140.0","110.0","120.0","111.67","100.0","120.0","100.0","108.29","107.85","101.97","0.41","6.2"
"11.0","Powdered Milk, Nido, Polybag","400 gm","451.28","451.28","451.28","451.28","410.0","451.0","451.28","451.28","451.0","451.28","451.28","451.28","461.5","419.33","430.76","450.0","400.0","443.24","437.28","385.12","1.36","15.09"
"12.0","Eggs Hen, Farm","Dozen","99.4","95.9","95.5","100.0","95.14","96.9","98.0","89.87","94.8","103.37","99.3","93.2","85.5","97.66","108.0","103.0","100.0","97.38","91.77","96.42","6.11","1.0"
"13.0","Mustard Oil, Average Quality","1 Kg","246.25","241.67","188.0","170.0","192.57","220.0","195.0","192.5","173.0","186.89","174.5","160.0","224.0","233.33","177.5","210.0","200.0","199.13","197.15","187.7","1.0","6.09"
"14.0","Cooking Oil, Tin, (SN)","2.5 Ltr","575.0","575.0","554.6","573.0","554.0","554.0","575.0","575.0","570.0","569.0","555.0","550.0","576.0","545.0","540.0","565.0","533.0","561.09","535.79","479.74","4.72","16.96"
"15.0","Vegetable Ghee, Tin, (SN)","2.5 Kg","545.0","545.0","525.0","536.0","532.0","536.0","545.0","545.0","540.0","539.0","533.0","520.0","555.0","520.0","540.0","540.0","524.0","536.47","514.04","473.79","4.36","13.23"
"16.0","Vegetable Ghee (Loose)","1 Kg","181.19","181.46","173.0","176.0","174.2","178.0","177.8","175.87","180.0","174.15","217.0","155.0","158.0","191.0","193.0","209.0","132.0","178.04","169.88","150.19","4.8","18.54"
"17.0","Bananas","Dozen","122.25","89.16","67.0","70.5","71.43","74.0","62.0","86.67","81.0","66.42","52.0","69.0","79.0","81.0","76.0","89.5","86.0","77.82","89.72","74.35","-13.26","4.67"
"18.0","Pulse Masoor, Washed","1 Kg","133.75","120.0","150.0","148.0","133.93","135.0","140.0","116.67","120.0","124.12","106.88","110.0","100.0","105.0","115.0","160.0","120.0","125.79","125.12","113.28","0.54","11.04"
"19.0","Pulse Moong, Washed","1 Kg","190.13","178.96","162.5","165.0","166.43","177.5","180.0","167.66","170.0","173.69","162.0","171.0","154.0","162.0","175.0","190.0","149.0","170.29","169.85","113.98","0.26","49.4"
"20.0","Pulse Mash, Washed","1 Kg","201.88","190.17","185.0","190.0","174.64","195.0","196.0","171.67","170.0","171.42","178.5","172.0","171.0","178.0","168.0","224.0","129.0","180.37","178.4","146.27","1.1","23.31"
"21.0","Pulse Gram, Washed","1 Kg","146.13","141.0","122.5","121.0","120.71","125.5","115.0","120.0","130.0","132.81","128.75","125.0","125.0","138.0","122.5","164.0","140.0","130.46","128.4","117.07","1.6","11.44"
"22.0","Potatoes","1 Kg","48.25","43.42","58.5","58.0","39.0","52.5","28.0","40.0","34.5","38.38","39.25","31.0","39.0","36.67","35.0","35.0","25.0","40.09","35.81","33.28","11.95","20.46"
"23.0","Onions","1 Kg","84.0","78.33","68.0","68.0","71.64","68.5","61.5","62.33","64.5","59.12","59.0","53.0","64.0","71.67","61.0","52.0","44.0","64.15","50.42","41.93","27.23","52.99"
"24.0","Tomatoes","1 Kg","72.88","64.25","75.0","76.0","71.29","61.5","48.0","46.66","59.0","55.0","49.63","42.0","45.0","51.83","52.0","35.0","36.0","55.36","45.99","67.8","20.37","-18.35"
"25.0","Sugar, Refined","1 Kg","79.73","77.61","74.9","75.4","75.36","75.4","74.8","74.13","74.4","74.71","74.4","74.2","74.4","76.33","75.3","77.4","73.0","75.38","72.38","55.59","4.14","35.6"
"26.0","Gur, Average Quality","1 Kg","118.75","107.08","110.0","118.0","116.43","115.0","112.0","107.67","115.0","115.58","116.5","109.0","99.3","113.67","110.0","100.0","100.0","110.82","106.54","82.92","4.02","33.65"
"27.0","Salt Powder, Loose, Lahori","1 Kg","12.0","12.0","15.0","15.0","20.54","10.0","10.0","10.0","12.0","12.62","15.0","10.0","10.0","15.0","12.0","10.0","10.0","12.42","12.42","11.68","0.0","6.34"
"28.0","Red Chilly Powder, Loose","1 Kg","397.5","355.0","330.0","320.0","335.86","380.0","400.0","267.67","310.0","393.46","385.0","365.0","290.0","350.0","320.0","382.0","290.0","345.38","346.75","340.21","-0.4","1.52"
"29.0","Garlic","1 Kg","316.5","297.17","244.0","266.0","269.86","276.0","288.0","250.33","240.0","286.31","237.0","208.0","176.0","269.0","256.0","274.0","200.0","256.13","233.73","123.75","9.58","106.97"
"30.0","Tea, Lipton Yellow Label, Packet","200 gm","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.05","221.0","221.05","221.05","221.05","221.05","221.05","221.05","221.05","195.0","219.51","219.51","203.55","0.0","7.84"
"31.0","Cooked Beef, Average Hotel","Plate","133.13","126.67","145.0","150.0","131.43","170.0","130.0","105.0","125.0","106.15","100.0","120.0","100.0","120.0","105.0","98.0","200.0","127.38","125.96","113.69","1.13","12.04"
"32.0","Cooked Daal, Average Hotel","Plate","86.88","80.83","55.0","60.0","67.32","65.0","60.0","47.75","60.0","68.16","60.0","70.0","65.0","60.0","50.0","83.0","87.5","66.26","65.5","61.65","1.16","7.48"
"33.0","Tea Prepared, Average Hotel","Cup","25.94","25.0","25.0","25.0","24.11","25.0","25.0","23.33","22.5","24.83","30.0","30.0","30.0","20.0","20.0","21.0","20.0","24.51","24.47","21.6","0.16","13.47"
"34.0","Cigarettes, K-2, 20's","Packet","70.0","70.0","80.0","80.0","80.0","80.0","80.0","80.0","80.0","70.0","80.0","80.0","76.0","80.0","80.0","60.0","70.0","76.24","75.94","51.1","0.4","49.2"
"35.0","Long Cloth","1 mtr","262.5","255.0","180.0","200.0","295.0","237.5","275.0","325.0","312.5","200.0","300.0","375.0","300.0","450.0","440.0","550.0","250.0","306.32","298.68","231.81","2.56","32.14"
"36.0","Shirting","1 mtr","249.38","245.0","200.0","220.0","165.0","135.0","170.0","250.0","155.0","183.85","140.0","175.0","200.0","420.83","225.0","165.0","170.0","204.06","195.63","178.63","4.31","14.24"
"37.0","Lawn","1 mtr","260.0","240.0","245.0","270.0","337.5","280.0","393.34","200.0","415.0","421.54","320.0","393.0","500.0","430.0","469.5","500.0","250.0","348.52","336.6","287.59","3.54","21.19"
"38.0","Georgette","1 mtr","185.0","183.75","175.0","170.0","145.0","165.0","150.0","105.0","110.0","123.85","120.0","150.0","160.0","128.33","120.0","110.0","150.0","144.17","142.92","132.08","0.87","9.15"
"39.0","Sandal Bata (Gents)","Pair","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","699.0","0.0","0.0"
"40.0","Chappal Spounge Bata (Gents)","Pair","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","199.0","0.0","0.0"
"41.0","Sandal Bata (Ladies)","Pair","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","599.0","0.0","0.0"
"42.0","Elec. Charges, Upto 50 Units","Unit","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","2.0","0.0","0.0"
"43.0","Gas Charges, Upto 3.3719 MMBTU","MMBTU","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","246.29","","246.29","220.99","128.7","11.45","91.37"
"44.0","Kerosene Oil","1 Ltr","153.75","148.75","140.0","150.0","130.0","136.0","120.0","130.0","145.0","144.44","135.0","130.0","147.5","137.33","120.75","111.0","100.0","134.09","131.27","122.37","2.15","9.58"
"45.0","Firewood Whole","40 Kg","787.5","741.67","775.0","700.0","810.71","600.0","550.0","711.67","650.0","661.54","600.0","500.0","500.0","729.17","500.0","650.0","625.0","652.49","650.82","626.25","0.26","4.19"
"46.0","Energy Saver (14 watts)","Each","175.0","175.0","170.0","155.0","170.0","165.0","180.0","200.0","175.0","180.0","200.0","155.0","190.0","190.0","170.0","210.0","150.0","177.06","174.19","171.18","1.65","3.43"
"47.0","Washing Soap, (Nylon), (SN)","Cake","30.0","30.0","40.0","47.0","46.2","30.0","47.0","22.0","25.0","14.0","30.0","28.0","33.0","20.0","26.0","45.0","40.0","32.54","31.85","28.08","2.17","15.88"
"48.0","Match Box, Regular","Each","2.5","2.5","2.6","2.0","3.0","2.5","3.0","3.0","2.5","3.0","3.0","3.0","3.0","2.0","3.0","2.0","1.5","2.59","2.47","2.35","4.86","10.21"
"49.0","Petrol, Super","1 Ltr","118.32","118.32","118.4","119.95","118.16","118.4","118.4","118.54","119.2","118.33","119.31","118.33","119.1","118.35","120.6","118.3","121.4","118.91","113.74","96.22","4.55","23.58"
"50.0","Hi Speed Diesel (HSD)","1 Ltr","132.96","132.96","133.0","134.15","132.82","132.95","133.1","133.26","134.05","132.97","133.79","133.0","133.2","132.9","135.6","132.9","136.04","133.51","127.83","113.92","4.44","17.2"
"51.0","LPG Cylinder, 11kg","Each","1370.0","1345.0","1111.0","1202.6","1122.0","1230.0","1120.0","1121.5","1210.0","1262.88","1298.0","1320.0","1430.0","1210.0","1150.0","1275.0","1470.2","1249.89 1288.21 1496.61","","","-2.97","-16.49"
"52.0","Telephone Local Call","P/Call","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","4.65","3.94","0.0","18.02"
"53.0","Soap, LifeBuoy","Each","42.4","42.4","43.0","43.0","43.0","45.0","43.03","43.0","43.0","43.8","43.0","43.0","41.2","43.0","43.0","42.4","42.0","42.9","42.2","40.27","1.66","6.53"
